role,name,affiliation,address,trial_id,processed_name,first_name,gender,gender_probability,gender_sample_count,Rank,Title,Status,Study Results,Conditions,Interventions,Sponsor/Collaborators,Other IDs,First Posted,Locations,URL
Principal Investigator,"Pamela N Munster, MD","University of California, San Francisco",,NCT04190056,pamela n munster,pamela,female,0.98,31042,275,Pembrolizumab and Tamoxifen With or Without Vorinostat for the Treatment of Estrogen Receptor Positive Breast Cancer,Not yet recruiting,No Results Available,Anatomic Stage IV Breast Cancer AJCC v8|Prognostic Stage IV Breast Cancer AJCC v8,Biological: Pembrolizumab|Drug: Tamoxifen|Drug: Vorinostat,"University of California, San Francisco|Merck Sharp & Dohme Corp.",197520|NCI-2019-07572,"December 9, 2019","University of California, San Francisco, San Francisco, California, United States",https://ClinicalTrials.gov/show/NCT04190056
Principal Investigator,"Matthias Schwab, Prof. Dr.",Margarete Fischer-Bosch Institute of Clinical Pharmacology,,NCT03931928,matthias schwab,matthias,male,1.0,26402,280,Genotype and Phenotype Guided Supplementation of TAMoxifen Standard Therapy With ENDOXifen in Breast Cancer Patients,Not yet recruiting,No Results Available,Breast Cancer|DCIS,Drug: (Z)-Endoxifen supplementation according to genotype|Drug: (Z)-Endoxifen supplementation according to plasma levels,Robert Bosch Gesellschaft für Medizinische Forschung mbH,IKP275 / GBG91|2016-000418-31,"April 30, 2019",,https://ClinicalTrials.gov/show/NCT03931928
Principal Investigator,"Matthias Wilhelm, Prof. Dr.","University Clinic for Cardiology, University Hospital Berne",,NCT03850171,matthias wilhelm,matthias,male,1.0,26402,669,Cancer Adverse Effects PReventIon With Care & Exercise: the CAPRICE Study,Recruiting,No Results Available,Breast Neoplasm Female|Lymphoma|Cardiotoxicity|Anthracyclines|Physical Activity,Other: Exercise Training,"University Hospital Inselspital, Berne|Spital STS AG|Bürgerspital Solothurn|Lindenhofspital|University of Bern",CAPRICE,"February 21, 2019","Lindenhofgruppe, Bern, Switzerland|University Clinic for Cardiology, Bern, Switzerland|Bürgerspital Solothurn, Solothurn, Switzerland|Spital STS AG, Thun, Switzerland",https://ClinicalTrials.gov/show/NCT03850171
Principal Investigator,"Alice Ho, MD",Massachusetts General Hospital,,NCT03945721,alice ho,alice,female,0.98,68971,282,A Phase I Study of Niraparib Administered Concurrently With Postoperative RT in Triple Negative Breast Cancer Patients,Recruiting,No Results Available,Triple Negative Breast Cancer|Residual Disease,Drug: Niraparib|Radiation: Radiation Therapy,"Massachusetts General Hospital|Tesaro, Inc.",19-055,"May 10, 2019","Massachusetts General Hospital Cancer Center, Boston, Massachusetts, United States|Dana Farber Cancer Institute/Brigham and Women's Hospital, Boston, Massachusetts, United States",https://ClinicalTrials.gov/show/NCT03945721
Principal Investigator,"Ketki Raina, PhD, OTR/L",University of Toledo,,NCT04160182,ketki raina,ketki,female,0.95,19,283,Feasibility and Effectiveness of an Internet-based Intervention to Manage Fatigue in Breast Cancer Survivors,Recruiting,No Results Available,Breast Cancer|Fatigue,Behavioral: Energy Conservation Work Simplification Education,Ketki Raina|University of Toledo Medical Center|University of Toledo Health Science Campus,UT BCS ECS Study,"November 12, 2019","University of Toledo, Toledo, Ohio, United States",https://ClinicalTrials.gov/show/NCT04160182
Principal Investigator,"Brent Rexer, MD, PhD",Vanderbilt Medical Center,,NCT03962647,brent rexer,brent,male,0.99,4210,284,A 2-Week Ketogenic Diet in Combination With Letrozole to Modulate PI3K Signaling in ER+ Breast Cancer,Recruiting,No Results Available,Estrogen Receptor-positive Breast Cancer,Dietary Supplement: 2-Week Ketogenic Diet|Drug: Letrozole,Vanderbilt-Ingram Cancer Center,VICC BRE 18108|NCI-2019-03071,"May 24, 2019","Vanderbilt-Ingram Cancer Center, Nashville, Tennessee, United States",https://ClinicalTrials.gov/show/NCT03962647
Study Director,"Evelyn Rustia, MD","Seattle Genetics, Inc.",,NCT03975647,evelyn rustia,evelyn,female,0.98,12188,285,A Study of Tucatinib vs. Placebo in Combination With Ado-trastuzumab Emtansine (T-DM1) for Patients With Advanced or Metastatic HER2+ Breast Cancer,Recruiting,No Results Available,HER2-positive Breast Cancer,Drug: tucatinib|Drug: placebo|Drug: T-DM1,"Seattle Genetics, Inc.",SGNTUC-016,"June 5, 2019","University of South Alabama - Mitchell Cancer Institute, Mobile, Alabama, United States|Ironwood Cancer & Research Centers - Chandler, Chandler, Arizona, United States|Banner MD Anderson Cancer Center, Gilbert, Arizona, United States|Arizona Oncology Associates, PC - HAL, Phoenix, Arizona, United States|Arizona Oncology Associates, PC - HOPE, Tucson, Arizona, United States|City of Hope National Medical Center, Duarte, California, United States|California Cancer Associates for Research and Excellence Inc (cCARE), Encinitas, California, United States|UCLA Medical Center / David Geffen School of Medicine, Los Angeles, California, United States|Chao Family Comprehensive Cancer Center University of California Irvine, Orange, California, United States|University of California Irvine - Newport, Orange, California, United States|University of California Davis, Sacramento, California, United States|Rocky Mountain Cancer Centers - Aurora, Aurora, Colorado, United States|University of Colorado Hospital / University of Colorado, Aurora, Colorado, United States|University of Colorado Health Memorial Hospital, Colorado Springs, Colorado, United States|Cancer Centers of Colorado - Denver, Denver, Colorado, United States|Poudre Valley Health System (PVHS), Fort Collins, Colorado, United States|SCL Health Good Samaritan Medical Center Cancer Centers of Colorado, Lafayette, Colorado, United States|Helen F. Graham Cancer Center / Christiana Care Health Systems, Newark, Delaware, United States|Florida Cancer Specialists - South Region, Fort Myers, Florida, United States|Baptist MD Anderson Cancer Center, Jacksonville, Florida, United States|University of Miami, Miami, Florida, United States|Miami Cancer Institute at Baptist Health, Inc., Miami, Florida, United States|AdventHealth Cancer Institute, Orlando, Florida, United States|Florida Cancer Specialists - North Region, Saint Petersburg, Florida, United States|Florida Cancer Specialists - East West Palm Beach, FL (SCRI), West Palm Beach, Florida, United States|Winship Cancer Institute / Emory University School of Medicine, Atlanta, Georgia, United States|Northside Hospital, Atlanta, Georgia, United States|Kaiser Permanente Moanalua Medical Center, Honolulu, Hawaii, United States|Rush University Medical Center, Chicago, Illinois, United States|Illinois Cancer Care, Peoria, Illinois, United States|University of Kansas Medical Center, Kansas City, Kansas, United States|CHI Saint Joseph Medical Group Cancer Care Center, Lexington, Kentucky, United States|University of Maryland, Baltimore, Maryland, United States|Mercy Medical Center -Weinberg Center, Baltimore, Maryland, United States|Center for Cancer and Blood Disorders/RCCA, Bethesda, Maryland, United States|Maryland Oncology Hematology, P.A., Rockville, Maryland, United States|University of Michigan Comprehensive Cancer Center, Ann Arbor, Michigan, United States|Minnesota Oncology Hematology P.A., Minneapolis, Minnesota, United States|North Mississippi Medical Center Hematology Oncology - Tupelo, Tupelo, Mississippi, United States|Saint Luke's Cancer Institute LLC, Kansas City, Missouri, United States|HCA Midwest Health Kansas City, Kansas City, Missouri, United States|Washington University in St Louis, Saint Louis, Missouri, United States|St. Vincent Frontier Cancer Center, Billings, Montana, United States|Nebraska Cancer Specialists, Omaha, Nebraska, United States|Summit Medical Group, Florham Park, New Jersey, United States|Rutgers Cancer Institute of New Jersey / Robert Wood Johnson Medical School, New Brunswick, New Jersey, United States|Stony Brook University Cancer Center, Stony Brook, New York, United States|Levine Cancer Institute, Charlotte, North Carolina, United States|Duke University Medical Center, Durham, North Carolina, United States|Providence Portland Medical Center, Portland, Oregon, United States|Oregon Health and Science University, Portland, Oregon, United States|Northwest Cancer Specialists, P.C., Tigard, Oregon, United States|Brig Center for Cancer Care and Survivorship, Knoxville, Tennessee, United States|Tennessee Oncology - Nashville, Nashville, Tennessee, United States|Texas Oncology - Amarillo, Amarillo, Texas, United States|Texas Oncology - Austin Central, Austin, Texas, United States|Texas Oncology - Medical City Dallas, Dallas, Texas, United States|Texas Oncology - Baylor Sammons Cancer Center, Dallas, Texas, United States|The Center for Cancer and Blood Disorders: Fortworth, Fort Worth, Texas, United States|Texas Oncology - Houston Memorial City, Houston, Texas, United States|Texas Oncology - San Antonio Medical Center, San Antonio, Texas, United States|Oncology and Hematology Assoc of SW VA DBA Blue Ridge Cancer Care, Blacksburg, Virginia, United States|Virginia Cancer Specialists, PC, Fairfax, Virginia, United States|Saint Francis Hospital / Bon Secours - Virginia, Midlothian, Virginia, United States|Peninsula Cancer Institute, Newport News, Virginia, United States|Swedish Cancer Institute - Edmonds, Edmonds, Washington, United States|Swedish Cancer Institute - Issaquah, Issaquah, Washington, United States|Swedish Cancer Institute, Seattle, Washington, United States",https://ClinicalTrials.gov/show/NCT03975647
Study Director,"Dr. yuan, Prof","Cancer Institute and Hospital, Chinese Academy of Medical Sciences",,NCT03947736,yuan,yuan,male,0.56,1393,287,Dynamic Monitoring of HER2 and ctDNA Specific Mutations in Patients With Recurrent or Metastatic Breast Cancer by Digital PCR,Recruiting,No Results Available,Recurrent or Metastatic Breast Cancer,Diagnostic Test: cfDNA was detected by dPCR,Chinese Academy of Medical Sciences|Questgenomics,NCC1824,"May 13, 2019","Chinese Academy of Medical Sciences, Beijing, Beijing, China",https://ClinicalTrials.gov/show/NCT03947736
Principal Investigator,Yuan Yuan,City of Hope Medical Center,,NCT03853707,yuan yuan,yuan,male,0.56,1393,379,"Ipatasertib in Combination With Carboplatin, Carboplatin/Paclitaxel, or Capecitabine/Atezolizumab in Treating Patients With Metastatic Triple Negative Breast Cancer",Recruiting,No Results Available,Anatomic Stage IV Breast Cancer AJCC v8|Metastatic Triple-Negative Breast Carcinoma|Prognostic Stage IV Breast Cancer AJCC v8,Drug: Atezolizumab|Drug: Capecitabine|Drug: Carboplatin|Drug: Ipatasertib|Drug: Paclitaxel|Other: Quality-of-Life Assessment|Other: Questionnaire Administration,City of Hope Medical Center|National Cancer Institute (NCI),18496|NCI-2019-00465,"February 26, 2019","City of Hope Medical Center, Duarte, California, United States",https://ClinicalTrials.gov/show/NCT03853707
Principal Investigator,"Todd Tuttle, MD, MS","Department of Surgery, University of Minnesota",,NCT03981705,todd tuttle,todd,male,0.99,6598,291,Assessment of Complete Pathologic Response After Neoadjuvant Chemotherapy for Breast Cancer,Recruiting,No Results Available,TN ER-/PR-/HER2- Breast Cancer|Triple Negative Breast Cancer|HER2-positive Breast Cancer|ERany/PRany/HER2+ Breast Cancer,Radiation: Standard Trimodality Breast Imaging,"Masonic Cancer Center, University of Minnesota",2018NTLS176,"June 11, 2019","University of Minnesota Masonic Cancer Center, Minneapolis, Minnesota, United States",https://ClinicalTrials.gov/show/NCT03981705
Principal Investigator,"Reham A Elshafiey, PharmD",Damanhour University,,NCT03908528,reham a elshafiey,reham,female,0.96,971,292,Alpha-Lipoic Acid in Breast Cancer Patients,Recruiting,No Results Available,Breast Cancer|Chemotherapeutic Toxicity,Dietary Supplement: Alpha-lipoic acid|Drug: Chemotherapy,Damanhour University,Alpha-Lipoic Acid,"April 9, 2019","Ayadi AL-Mostakbal Oncology Center, Alexandria, Egypt",https://ClinicalTrials.gov/show/NCT03908528
Principal Investigator,"Neil Iyengar, MD",Memorial Sloan Kettering Cancer Center,,NCT03988595,neil iyengar,neil,male,0.99,15028,294,Exercise Treatment With Standard Therapy for Metastatic Breast Cancer,Recruiting,No Results Available,Hormone Receptor Positive Metastatic Breast Cancer,Other: Exercise Treatment,Memorial Sloan Kettering Cancer Center,19-113,"June 17, 2019","Memorial Sloan Kettering Cancer Center, New York, New York, United States",https://ClinicalTrials.gov/show/NCT03988595
Principal Investigator,"Kari Wisinski, MD","University of Wisconsin, Madison",,NCT03911973,kari wisinski,kari,female,0.5,5594,295,"Gedatolisib Plus Talazoparib in Advanced Triple Negative or BRCA1/2 Positive, HER2 Negative Breast Cancers",Recruiting,No Results Available,TNBC - Triple-Negative Breast Cancer,Drug: Gedatolisib|Drug: Talazoparib,Kari Wisinski|Pfizer|Big Ten Cancer Research Consortium,BTCRC-BRE18-337,"April 11, 2019","Northwestern University Feinberg School of Medicine, Chicago, Illinois, United States|University of Illinois Cancer Center, Chicago, Illinois, United States|Indiana University Melvin and Bren Simon Comprehensive Cancer Center, Indianapolis, Indiana, United States|University of Iowa Hospital and Clinics, Iowa City, Iowa, United States|University of Wisconsin, Madison, Wisconsin, United States",https://ClinicalTrials.gov/show/NCT03911973
Principal Investigator,"Kari Wisinski, MD","University of Wisconsin, Madison",,NCT04174352,kari wisinski,kari,female,0.5,5594,349,FES Imaging to Optimize Tamoxifen for Metastatic Breast Cancer,Suspended,No Results Available,ERα+ Breast Cancer|ESR1 Gene Mutation,Drug: Tamoxifen|Diagnostic Test: FES PET/CT,"University of Wisconsin, Madison",UW19046|2019-0935|A534260|SMPH/MEDICINE/MEDICINE|Protocol Version 10/17/2019,"November 22, 2019","University of Wisconsin Carbone Cancer Center, Madison, Wisconsin, United States|Wisconsin Oncology Network (WONIX) sites, Madison, Wisconsin, United States",https://ClinicalTrials.gov/show/NCT04174352
Principal Investigator,"Shusen Wang, M.D.",Sun Yat-sen University,,NCT04185649,shusen wang,shusen,male,1.0,4,296,The Efficacy and Safety of BAT8001 Injection for the Treatment of HER2-positive Advanced Breast Cancer,"Active, not recruiting",No Results Available,HER2-positive Advanced Breast Cancer,Biological: BAT8001 for injection|Drug: Lapatinib|Drug: Capecitabine,Bio-Thera Solutions,BAT-8001-002-CR,"December 4, 2019","The First Affiliated Hospital of Bengbu Medical College, Bengbu, Anhui, China|Anhui Provincial Hospital, Hefei, Anhui, China|Beijing Hospital, Beijing, Beijing, China|Beijing Shijitan Hospital, Beijing, Beijing, China|Peking union medical college hospital, Beijing, Beijing, China|Chinese PLA General Hospital, Peking, Beijing, China|Chongqing Cancer Hospital, Chongqing, Chongqing, China|The First Affiliated Hospital of Xiamen University, Xiamen, Fujian, China|Foshan City No. 1 People's Hospital, Foshan, Guangdong, China|Cancer Center of Guangzhou Medical University, Guangzhou, Guangdong, China|Sun Yat-sen Memorial Hospital. SYSU, Guangzhou, Guangdong, China|Sun Yat-sen University Cancer Center, Guangzhou, Guangdong, China|Peking University Shenzhen Hospital, Shenzhen, Guangdong, China|Shenzhen People's Hospital, Shenzhen, Guangdong, China|The First Affiliated Hospital of Guangdong Medical University, Zhanjiang, Guangdong, China|The Fifth Affiliated Hospital Sun Yat-sen University, Zhuhai, Guangdong, China|Liuzhou workers hospital, Liuzhou, Guangxi, China|The First Affiliated Hospital of Hainan Medical College, Haikou, Hainan, China|Harbin Medical University Cancer Hospital, Harbin, Heilongjiang, China|The First Affiliated Hospital of Henan University of science and technology, Luoyang, Henan, China|The First Affiliated Hospital of Xixiang Medical College, Xinxiang, Henan, China|Hubei Cancer Hospital, Wuhan, Hubei, China|Tongji Hospital of Tongji Medical College of HUST, Wuhan, Hubei, China|Zhongnan Hospital of Wuhan University, Wuhan, Hubei, China|Yichang Central Hospital, Yichang, Hubei, China|Hunan Cancer Hospital, Changsha, Hunan, China|Xiangya Hospital Central South University, Changsha, Hunan, China|Jiangsu Cancer Hospital, Nanning, Jiangsu, China|Affiliated Hospital of Jiangnan University, Wuxi, Jiangsu, China|Yancheng City No. 1 People's Hospital, Yancheng, Jiangsu, China|Jiangxi Cancer Hospital, Nanchang, Jiangxi, China|The Third Hospital of Nanchang, Nanchang, Jiangxi, China|Jilin Cancer Hospital, Chang chun, Jilin, China|The First Bethune Hospital of Jilin University, Changchun, Jilin, China|Jinzhou Central Hospital, Jinzhou, Liaoning, China|Liaoning Cancer Hospital, Shenyang, Liaoning, China|General Hospital of Ningxia Medical University, Yinchuan, Ningxia, China|Shandong Cancer Hospital, Jinan, Shandong, China|Linyi Cancer Hospital, Linyi, Shandong, China|Weifang People's Hospital, Weifang, Shandong, China|Fudan University Shanghai Cancer Hospital, Shanghai, Shanghai, China|Shanghai General Hospital, Shanghai, Shanghai, China|Shanghai Sixth People's Hospital, Shanghai, Shanghai, China|The Second Hospital of Anhui Medical University, Shanghai, Shanghai, China|Shanxi Cancer Hospital, Xi'an, Shanxi, China|The First Affiliated Hospital of Xi'an Jiaotong University, Xi'an, Shanxi, China|West China Hospital of Sichuan University, Chengdu, Sichuan, China|Yunnan Cancer Hospital, Kunming, Yunnan, China|The Second Affiliated Hospital of Zhejiang University School of Medicine, Hangzhou, Zhejiang, China|Zhejiang Cancer Hospital, Hangzhou, Zhejiang, China|Taizhou Hispotal of Zhejiang Province, Taizhou, Zhejiang, China",https://ClinicalTrials.gov/show/NCT04185649
